time	V(input)	V(nc_01)
7.288190625149470e-03	1.942695e-02	3.693794e+00
7.307721875149470e-03	1.869901e-02	3.737607e+00
7.327253125149469e-03	1.768981e-02	3.786432e+00
7.346784375149469e-03	1.641454e-02	3.839512e+00
7.366315625149469e-03	1.489238e-02	3.896029e+00
7.385846875149468e-03	1.314622e-02	3.955122e+00
7.405378125149468e-03	1.120234e-02	4.015900e+00
7.424909375149467e-03	9.089955e-03	4.077455e+00
7.444440625149467e-03	6.840854e-03	4.138875e+00
7.463971875149467e-03	4.488859e-03	4.199262e+00
7.483503125149466e-03	2.069348e-03	4.257738e+00
7.503034375149466e-03	-3.812877e-04	4.313460e+00
7.522565625149465e-03	-2.826189e-03	4.365632e+00
7.542096875149465e-03	-5.228581e-03	4.413511e+00
7.561628125149465e-03	-7.552331e-03	4.456418e+00
7.581159375149464e-03	-9.762487e-03	4.493745e+00
7.600690625149464e-03	-1.182581e-02	4.524961e+00
7.620221875149463e-03	-1.371125e-02	4.549618e+00
7.639753125149463e-03	-1.539047e-02	4.567355e+00
7.659284375149462e-03	-1.683820e-02	4.577904e+00
7.678815625149462e-03	-1.803267e-02	4.581092e+00
7.698346875149462e-03	-1.895591e-02	4.576845e+00
7.717878125149461e-03	-1.959404e-02	4.565192e+00
7.737409375149461e-03	-1.993745e-02	4.546265e+00
7.756940625149460e-03	-1.998099e-02	4.520302e+00
7.766706250149460e-03	-1.988992e-02	4.504785e+00
7.786237500149460e-03	-1.948382e-02	4.468942e+00
7.805768750149459e-03	-1.878467e-02	4.427113e+00
7.825300000149459e-03	-1.780298e-02	4.379891e+00
7.844831250149458e-03	-1.655352e-02	4.327962e+00
7.864362500149458e-03	-1.505508e-02	4.272092e+00
7.883893750149458e-03	-1.333019e-02	4.213119e+00
7.903425000149457e-03	-1.140481e-02	4.151939e+00
7.922956250149457e-03	-9.307888e-03	4.089493e+00
7.942487500149456e-03	-7.070966e-03	4.026746e+00
7.962018750149456e-03	-4.727690e-03	3.964676e+00
7.981550000149456e-03	-2.313306e-03	3.904256e+00
8.001081250149455e-03	1.358729e-04	3.846432e+00
8.020612500149455e-03	2.583008e-03	3.792114e+00
8.040143750149454e-03	4.991292e-03	3.742153e+00
8.059675000149454e-03	7.324503e-03	3.697332e+00
8.079206250149453e-03	9.547547e-03	3.658349e+00
8.098737500149453e-03	1.162699e-02	3.625808e+00
8.118268750149453e-03	1.353154e-02	3.600209e+00
8.137800000149452e-03	1.523258e-02	3.581937e+00
8.157331250149452e-03	1.670450e-02	3.571263e+00
8.176862500149451e-03	1.792516e-02	3.568332e+00
8.196393750149451e-03	1.887622e-02	3.573169e+00
8.215925000149451e-03	1.954336e-02	3.585676e+00
8.235456250149450e-03	1.991655e-02	3.605634e+00
8.254987500149450e-03	1.999018e-02	3.632711e+00
8.264753125149450e-03	1.991414e-02	3.648785e+00
8.274518750149449e-03	1.976314e-02	3.666465e+00
8.294050000149449e-03	1.923884e-02	3.706353e+00
8.313581250149448e-03	1.842517e-02	3.751746e+00
8.333112500149448e-03	1.733437e-02	3.801930e+00
8.352643750149448e-03	1.598284e-02	3.856129e+00
8.372175000149447e-03	1.439092e-02	3.913511e+00
8.391706250149447e-03	1.258254e-02	3.973204e+00
8.411237500149446e-03	1.058491e-02	4.034311e+00
8.430768750149446e-03	8.428077e-03	4.095921e+00
8.450300000149446e-03	6.144475e-03	4.157125e+00
8.469831250149445e-03	3.768454e-03	4.217030e+00
8.489362500149445e-03	1.335753e-03	4.274766e+00
8.508893750149444e-03	-1.117040e-03	4.329505e+00
8.528425000149444e-03	-3.553031e-03	4.380464e+00
8.547956250149443e-03	-5.935582e-03	4.426919e+00
8.567487500149443e-03	-8.228855e-03	4.468213e+00
8.587018750149443e-03	-1.039836e-02	4.503758e+00
8.606550000149442e-03	-1.241146e-02	4.533050e+00
8.626081250149442e-03	-1.423789e-02	4.555665e+00
8.645612500149441e-03	-1.585016e-02	4.571269e+00
8.665143750149441e-03	-1.722403e-02	4.579623e+00
8.684675000149441e-03	-1.833883e-02	4.580584e+00
8.704206250149440e-03	-1.917781e-02	4.574108e+00
8.723737500149440e-03	-1.972833e-02	4.560254e+00
8.743268750149439e-03	-1.998211e-02	4.539186e+00
8.762800000149439e-03	-1.993535e-02	4.511174e+00
8.782331250149438e-03	-1.958875e-02	4.476592e+00
8.801862500149438e-03	-1.894750e-02	4.435915e+00
8.821393750149438e-03	-1.802128e-02	4.389720e+00
8.840925000149437e-03	-1.682399e-02	4.338674e+00
8.860456250149437e-03	-1.537366e-02	4.283526e+00
8.879987500149436e-03	-1.369209e-02	4.225104e+00
8.899518750149436e-03	-1.180458e-02	4.164292e+00
8.919050000149436e-03	-9.739515e-03	4.102022e+00
8.938581250149435e-03	-7.527962e-03	4.039257e+00
8.958112500149435e-03	-5.203181e-03	3.976974e+00
8.977643750149434e-03	-2.800140e-03	3.916147e+00
8.997175000149434e-03	-3.549813e-04	3.857730e+00
9.016706250149433e-03	2.095516e-03	3.802640e+00
9.036237500149433e-03	4.514495e-03	3.751743e+00
9.055768750149433e-03	6.865572e-03	3.705835e+00
9.075300000149432e-03	9.113384e-03	3.665633e+00
9.094831250149432e-03	1.122412e-02	3.631760e+00
9.114362500149431e-03	1.316604e-02	3.604738e+00
9.133893750149431e-03	1.490993e-02	3.584975e+00
9.153425000149431e-03	1.642956e-02	3.572766e+00
9.172956250149430e-03	1.770207e-02	3.568281e+00
9.192487500149430e-03	1.870833e-02	3.571568e+00
9.212018750149429e-03	1.943319e-02	3.582555e+00
9.231550000149429e-03	1.986576e-02	3.601046e+00
9.251081250149428e-03	1.999954e-02	3.626731e+00
9.270612500149428e-03	1.983250e-02	3.659189e+00
9.290143750149428e-03	1.936716e-02	3.697899e+00
9.309675000149427e-03	1.861053e-02	3.742245e+00
